,c1_c2,c2_c3,c3_c0
42,7.000175501847602,6.999984765672189,6.8098755096172505
43,7.000190760687724,6.99998476566221,6.80287935487289
44,7.000198390031012,6.9999847656423855,6.795883200280319
45,7.000206019241685,6.999984765632426,6.788871787062453
46,7.000213648422656,6.99998476562237,6.781860373915576
47,7.000213648169418,6.999984765612529,6.774864219591577
48,7.000221277292046,6.999977136188102,6.767868065262997
49,7.000221277001603,6.999977136188102,6.760887169658503
50,7.000228906196767,6.999977136188102,6.753913903341621
51,7.0002289061371465,6.999977136188088,6.746948266270022
52,7.000228906117271,6.9999771361882015,6.739990258482384
53,7.000236535571357,6.99997713619815,6.733039879948177
54,7.000236535680933,6.9999771361980505,6.7261123895275
55,7.000236535780683,6.9999771362179395,6.719184899017405
56,7.00025179466966,6.999961877468733,6.712291740823635
57,7.00026705352869,6.999961877468733,6.705398582640695
58,7.000274682943193,6.999965692175984,6.698520683316647
59,7.000289941732244,6.9999618774489125,6.691673301679157
60,7.000289941692171,6.999958062701861,6.6852073898263065
61,7.000305200371075,6.9999428038929254,6.679355644280362
62,7.00032045906031,6.999938989165815,6.674118065150861
63,7.000328088365225,6.999923730347066,6.669277214706736
64,7.000331902972916,6.999919915639848,6.664447808428621
65,7.000335717610624,6.999916100942659,6.659637475651761
66,7.0003357175906835,6.999916100932731,6.65484621624249
67,7.000335717551131,6.999916100982294,6.650062586002854
68,7.000343346985259,6.9999122863248795,6.64529802897083
69,7.000343347084548,6.999912286364672,6.640544915744103
70,7.000350976558593,6.999912286454345,6.635787987591096
71,7.000362420759988,6.9999084717770055,6.631050132873479
72,7.000373864941624,6.999908471806943,6.626335166388924
73,7.000381494386204,6.9999046571096555,6.621627829462777
74,7.000392938487974,6.999904657059769,6.616931936921978
75,7.000408197206914,6.999904657000073,6.612243674133095
76,7.000412011794294,6.999904656920458,6.607576392521213
77,7.00041964103952,6.999904656831044,6.603088401944058
78,7.000431084962583,6.999900842084155,6.599020028209744
79,7.000446343613138,6.999898934695922,6.595371271159608
80,7.0004539729483835,6.999897027377055,6.592062021918908
